x,y,column1,column2,column3,column4
8,0.054,0.0003501945525291829,-0.05352823640761376,7.946,
598,0.056,0.0003631647211413749,-0.01847372664493274,597.944,
1268,0.058,0.00037613488975356686,0.01658078311774828,1267.942,-4.09951089771561
1568,0.059,0.0003826199740596628,0.034108037999088646,1567.941,-3.378222204021547
1938,0.06,0.0003891050583657588,0.05163529288042915,1937.94,-2.963549869744922
2598,0.061,0.00039559014267185477,0.06916254776176967,2597.939,-2.671295780184937
3218,0.063,0.00040856031128404675,0.10421705752445069,3217.937,-2.2612794632094544
3838,0.065,0.00042153047989623867,0.13927156728713155,3837.935,-1.9713295303929546
4168,0.066,0.00042801556420233466,0.15679882216847207,4167.934,-1.8527916827747053
4508,0.067,0.00043450064850843065,0.1743260770498126,4507.933,-1.7468277274928146
4838,0.068,0.00044098573281452664,0.1918533319311531,4837.932,-1.651024095063635
4968,0.069,0.0004474708171206226,0.2093805868124936,4967.931,-1.563601693475247
5198,0.07,0.0004539559014267186,0.2269078416938341,5197.93,-1.4832113276620429
5388,0.071,0.0004604409857328145,0.24443509657517434,5387.929,-1.4088054589865435
5578,0.072,0.0004669260700389105,0.26196235145651486,5577.928,-1.3395544822772638
5648,0.071,0.0004604409857328145,0.24443509657517434,5647.929,-1.4088054589865435
5488,0.071,0.0004604409857328145,0.24443509657517434,5487.929,-1.4088054589865435
5208,0.07,0.0004539559014267186,0.2269078416938341,5207.93,-1.4832113276620429
5088,0.069,0.0004474708171206226,0.2093805868124936,5087.931,-1.563601693475247
4928,0.068,0.00044098573281452664,0.1918533319311531,4927.932,-1.651024095063635
4678,0.068,0.00044098573281452664,0.1918533319311531,4677.932,-1.651024095063635
4228,0.066,0.00042801556420233466,0.15679882216847207,4227.934,-1.8527916827747053
4058,0.065,0.00042153047989623867,0.13927156728713155,4057.935,-1.9713295303929546
3738,0.064,0.00041504539559014274,0.1217443124057912,3737.936,-2.1058322334634783
3388,0.063,0.00040856031128404675,0.10421705752445069,3387.937,-2.2612794632094544
3178,0.062,0.00040207522697795076,0.08668980264311017,3177.938,-2.445419018686136
2768,0.061,0.00039559014267185477,0.06916254776176967,2767.939,-2.671295780184937
2508,0.06,0.0003891050583657588,0.05163529288042915,2507.94,-2.963549869744922
2318,0.06,0.0003891050583657588,0.05163529288042915,2317.94,-2.963549869744922
1808,0.059,0.0003826199740596628,0.034108037999088646,1807.941,-3.378222204021547
1628,0.058,0.00037613488975356686,0.01658078311774828,1627.942,-4.09951089771561
1328,0.057,0.00036964980544747087,-0.000946471763592229,1327.943,
1088,0.056,0.0003631647211413749,-0.01847372664493274,1087.944,
838,0.056,0.0003631647211413749,-0.01847372664493274,837.944,
628,0.056,0.0003631647211413749,-0.01847372664493274,627.944,
248,0.055,0.0003566796368352789,-0.03600098152627325,247.945,
8,0.055,0.0003566796368352789,-0.03600098152627325,7.945,
-1112,0.056,0.0003631647211413749,-0.01847372664493274,-1112.056,
-1592,0.057,0.00036964980544747087,-0.000946471763592229,-1592.057,
-1872,0.058,0.00037613488975356686,0.01658078311774828,-1872.058,-4.09951089771561
-2162,0.058,0.00037613488975356686,0.01658078311774828,-2162.058,-4.09951089771561
-2382,0.057,0.00036964980544747087,-0.000946471763592229,-2382.057,
-2662,0.058,0.00037613488975356686,0.01658078311774828,-2662.058,-4.09951089771561
-2922,0.059,0.0003826199740596628,0.034108037999088646,-2922.059,-3.378222204021547
-3082,0.06,0.0003891050583657588,0.05163529288042915,-3082.06,-2.963549869744922
-3292,0.061,0.00039559014267185477,0.06916254776176967,-3292.061,-2.671295780184937
-3672,0.062,0.00040207522697795076,0.08668980264311017,-3672.062,-2.445419018686136
-3872,0.063,0.00040856031128404675,0.10421705752445069,-3872.063,-2.2612794632094544
-4312,0.064,0.00041504539559014274,0.1217443124057912,-4312.064,-2.1058322334634783
-4622,0.065,0.00042153047989623867,0.13927156728713155,-4622.065,-1.9713295303929546
-4972,0.066,0.00042801556420233466,0.15679882216847207,-4972.066,-1.8527916827747053
-5192,0.067,0.00043450064850843065,0.1743260770498126,-5192.067,-1.7468277274928146
-5482,0.067,0.00043450064850843065,0.1743260770498126,-5482.067,-1.7468277274928146
-5702,0.067,0.00043450064850843065,0.1743260770498126,-5702.067,-1.7468277274928146
-5842,0.067,0.00043450064850843065,0.1743260770498126,-5842.067,-1.7468277274928146
-5542,0.067,0.00043450064850843065,0.1743260770498126,-5542.067,-1.7468277274928146
-5072,0.066,0.00042801556420233466,0.15679882216847207,-5072.066,-1.8527916827747053
-4682,0.065,0.00042153047989623867,0.13927156728713155,-4682.065,-1.9713295303929546
-4902,0.063,0.00040856031128404675,0.10421705752445069,-4902.063,-2.2612794632094544
-4012,0.062,0.00040207522697795076,0.08668980264311017,-4012.062,-2.445419018686136
-3482,0.061,0.00039559014267185477,0.06916254776176967,-3482.061,-2.671295780184937
-3142,0.06,0.0003891050583657588,0.05163529288042915,-3142.06,-2.963549869744922
-2322,0.058,0.00037613488975356686,0.01658078311774828,-2322.058,-4.09951089771561
-1952,0.057,0.00036964980544747087,-0.000946471763592229,-1952.057,
-1432,0.056,0.0003631647211413749,-0.01847372664493274,-1432.056,
-892,0.056,0.0003631647211413749,-0.01847372664493274,-892.056,
-192,0.055,0.0003566796368352789,-0.03600098152627325,-192.055,
